"Name","Status","Latitude","Longitude","Maximum.Wind","diff","rapid_int","i","n","persistence","product","Initial.Max","speed","speed_z","speed_m","Jday","Maximum.Wind_p","Latitude_p","Longitude_p"
126,2,23,-86.7,30,0,"0",7,31,0,0,30,0.516675649006927,0.962471938292294,0.999929226087176,72,30,22.5,-86.4
126,3,23.7,-87.1,35,5,"0",8,31,0,0,30,0.474472387611708,0.980337494068379,0.999929226087176,71,30,23,-86.7
126,3,24.4,-87.5,35,5,"0",9,31,5,175,35,0.565129748403106,0.997904402352163,0.999929226087176,71,35,23.7,-87.1
126,3,25.5,-87.5,40,10,"0",10,31,5,175,35,0.655691446505931,1.01516728839621,0.999929226087176,71,35,24.4,-87.5
126,3,26.5,-86.9,45,15,"0",11,31,5,200,40,0.762059800172242,1.03881460657377,0.999929226087176,71,40,25.5,-87.5
126,3,27.7,-86.8,45,10,"0",12,31,10,450,45,0.899990236289886,1.0618415602339,0.999929226087176,70,45,26.5,-86.9
126,3,28.8,-86.8,50,15,"0",13,31,5,225,45,0.949181342073082,1.09674066786309,0.999929226087176,70,45,27.7,-86.8
126,3,29.9,-86.7,55,15,"0",14,31,5,250,50,0.955164994697191,1.12706523720658,0.999929226087176,70,50,28.8,-86.8
126,3,30.7,-86.3,45,0,"0",15,31,10,550,55,0.913683217476404,1.16163878870533,0.999929226087176,70,55,29.9,-86.7
126,2,33,-85,20,-5,"0",20,31,0,0,55,0.482315028065449,1.26185015193703,0.999929226087176,68,20,32.7,-85.2
126,2,33.2,-84.9,20,0,"0",21,31,0,0,55,0.338973674663378,1.27480482890114,0.999929226087176,68,20,33,-85
126,2,33.3,-84.8,20,0,"0",22,31,0,0,55,0.232305889096862,1.28313094089752,0.999929226087176,68,20,33.2,-84.9
126,2,33.5,-84.6,20,0,"0",23,31,0,0,55,0.142574280946076,1.28921142059321,0.999929226087176,68,20,33.3,-84.8
126,2,33.4,-84.4,15,-5,"0",24,31,0,0,55,0.162214360617828,1.29318656983687,0.999929226087176,67,20,33.5,-84.6
126,2,32.8,-85.4,15,-5,"0",27,31,0,0,55,0.1864644730277,1.2970986879515,0.999929226087176,67,15,33.1,-84.8
126,2,32.7,-86.3,10,-5,"0",28,31,0,0,55,0.375568777938236,1.29515055141151,0.999929226087176,66,15,32.8,-85.4
126,2,33,-87,10,-5,"0",31,31,0,0,55,0.179373936305613,1.28313094089752,0.999929226087176,66,10,32.8,-86.8
127,3,22,-86,50,20,"0",5,33,10,400,40,1.01734435574968,0.841428472808175,0.999929226087176,99,40,20.6,-85.8
127,3,23.3,-86.3,60,30,"1",6,33,15,750,50,1.12648851767245,0.88045503745903,0.999929226087176,99,50,22,-86
127,1,24.7,-86.2,65,30,"1",7,33,20,1200,60,1.1368532780757,0.929578693386601,0.999929226087176,99,60,23.3,-86.3
127,1,26.2,-86.2,65,25,"0",8,33,15,975,65,1.12303751735202,0.980337494068379,0.999929226087176,99,65,24.7,-86.2
127,1,27.6,-86.1,65,15,"0",9,33,5,325,65,1.20403624092523,1.02537690035952,0.999929226087176,98,65,26.2,-86.2
127,3,28.5,-85.6,60,0,"0",10,33,0,0,65,1.2040226757833,1.07151697814355,0.999929226087176,98,65,27.6,-86.1
